glycan_id,glycan,species,immunogenicity,inferred_origin,link,train,valid,test
384,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
387,Kdo(b2-6)Glc(b1-6)[GlcNAc(b1-2)]Gal(b1-3)GalNAc(b1-4)Kdo,"['Cronobacter_malonaticus', 'Cronobacter_sakazakii']",1.0,,,1,0,0
420,Fuc(a1-3)[Gal(b1-4)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
424,GalAGroN(a1-4)NeuNAc(a2-3)GalGroN(b1-3)GlcNAc(b1-3)GalAGroN,['Shewanella_algae'],1.0,,,1,0,0
427,Glc(b1-3)ManOAc(b1-4)Glc,['Burkholderia_cepacia'],1.0,,,1,0,0
432,[Par(a1-3)]Man(a1-4)RhaOAc(a1-3)[Glc(a1-4)]Gal(a1-2)Man,"['Salmonella_paratyphi', 'Salmonella_sp']",1.0,,,1,0,0
463,GalOS(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
485,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
491,Gal(a1-3)GalfOAc(b1-3)Gal,['Klebsiella_pneumoniae'],1.0,,,1,0,0
512,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
526,Fuc(a1-4)GalNAc(b1-3)Fuc,['Burkholderia_cepacia'],1.0,,,1,0,0
531,NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
560,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,"['Cricetinae_gen_sp', 'Homo_sapiens', 'Sus_scrofa']",0.0,,N,1,0,0
566,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Bos_taurus', 'Homo_sapiens', 'HumanImmunoDeficiency_Virus', 'Mesocricetus_auratus', 'MinkCellFocusForming_Virus', 'Mus_musculus', 'Rattus_norvegicus']",0.0,,N,0,1,0
582,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,"['Bos_taurus', 'Homo_sapiens']",0.0,,O,0,1,0
594,Fuc(a1-4)GlcNAc(b1-6)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
601,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
606,QuiNAc(b1-3)RhaOAc(a1-3)FucNAc(a1-2)QuiNAc,['Plesiomonas_shigelloides'],1.0,,,1,0,0
631,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,0,1,0
649,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
654,Fuc(a1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
662,[Gal(a1-6)]Galf(b1-6)Galf(b1-5)Galf,['Actinobacillus_pleuropneumoniae'],1.0,,,1,0,0
668,Fuc(a1-4)][GalOS(b1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)][Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]GalNAc,['Homo_sapiens'],0.0,,,0,1,0
698,AltNAcA(a1-3)FucNAc(b1-4)AltNAcA,['Plesiomonas_shigelloides'],1.0,,,1,0,0
741,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS,,1.0,Eukarya,,1,0,0
779,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)Glc,['Homo_sapiens'],0.0,,free,0,1,0
798,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-3)Gal,,1.0,Bacteria,,1,0,0
849,Rha(a1-2)Rha(a1-3)Rha(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Rha,['Shigella_flexneri'],1.0,,,1,0,0
857,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,1,0
887,[FucNAc(a1-4)]Gal(b1-4)Glc(a1-4)GalNAc(a1-3)GalNAc(b1-3)Gal,['Salmonella_sp'],1.0,,,1,0,0
922,NeuNAcOGc(a2-3)Gal(b1-3)GlcNAc,,1.0,Bacteria,,1,0,0
937,Gal(a1-3)Gal(b1-4)GalNAc,,1.0,Bacteria,,1,0,0
957,Rha(a1-3)Rha(a1-2)[Glc(b1-3)]Rha(a1-3)Rha,"['Azospirillum_brasilense', 'Azospirillum_lipoferum']",1.0,,,1,0,0
961,NeuNAc(a2-6)[NeuNGc(a2-3)]Gal(b1-4)Glc,,1.0,Bacteria,,1,0,0
1008,GalOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,,1,0,0
1012,[Galf(a1-2)Rha(a1-2)]Rha(a1-2)[Glc(a1-5)]Ribf(b1-4)GalA(a1-3)GlcNAc(b1-3)Rha,['Hafnia_alvei'],1.0,,,1,0,0
1021,GalOS(b1-4)GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
1029,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc,['Homo_sapiens'],0.0,,,1,0,0
1035,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1041,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1047,Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-8)NeuNAc(a2-3)]Gal(b1-4)Glc,,1.0,Bacteria,,1,0,0
1051,[Gal(a1-6)]GlcNAc(a1-3)GalNAc(b1-3)GlcNAc,['Acinetobacter_baumannii'],1.0,,,1,0,0
1075,Gal(a1-4)Gal(b1-4)Glc,"['Escherichia_coli', 'Leishmania_amazonensis', 'Neisseria_gonorrhoeae']",1.0,,,1,0,0
1133,Glc(a1-6)Glc(a1-6)Glc(b1-4)Glc(b1-3)[GalN(a1-4)]GlcNAcA(a1-4)[GlcN(b1-7)]Kdo(a2-5)[Kdo(a1-4)]Kdo,,1.0,Bacteria,,1,0,0
1163,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
1174,NeuNAcOGc(a2-3)Gal(b1-4)GlcNAc,,1.0,Aves,,1,0,0
1204,Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc,"['Gallus_gallus', 'Homo_sapiens']",0.0,,O,1,0,0
1223,Glc(a1-4)[GlcNAc(b1-3)]Gal(b1-3)GalNAc(a1-3)GlcNAc(b1-6)Glc,['Salmonella_sp'],1.0,,,1,0,0
1237,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,"['Bos_taurus', 'Homo_sapiens', 'Mus_musculus', 'Oryctolagus_cuniculus', 'Rattus_norvegicus', 'Sus_scrofa', 'Tetronarce_californica']",0.0,,N,1,0,0
1241,GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[GalOS(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,,1,0,0
1254,RhaOMe(a1-3)[Fucf(a1-4)]Rha(a1-3)Rha(a1-2)RhaOMe,['Xanthomonas_campestris'],1.0,,,1,0,0
1272,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,"['Homo_sapiens', 'Rattus_norvegicus']",0.0,,O,0,0,1
1273,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
1285,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,1.0,Chordata,,1,0,0
1324,[GlcNAc(a1-3)]GalNAc(b1-3)Gal(a1-4)Gal(b1-3)GalNAc(b1-4)GalNAc,['Salmonella_sp'],1.0,,,1,0,0
1336,[Galf(b1-4)Rha(a1-3)]DDManHep(b1-3)LDManHepOAc(b1-4)Rha(a1-3)GlcNAc(b1-4)DDManHep,['Plesiomonas_shigelloides'],1.0,,,1,0,0
1347,Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(b1-3)[GlcN(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]Kdo,['Shigella_flexneri'],1.0,,,1,0,0
1353,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
1371,GlcNAc(b1-2)[Glc(b1-6)Kdo(a1-4)]Glc(a1-3)GalNAla(a1-3)LDManHepOCm(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,,1.0,Bacteria,,1,0,0
1388,NeuNGc(a2-3)Gal(b1-3)GalNAc,"['Bos_taurus', 'Oryctolagus_cuniculus', 'Sus_scrofa']",1.0,,O,1,0,0
1399,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1403,Rha(a1-3)Gal(b1-4)[Gal(b1-3)]GalNAc(b1-4)Rha,['Actinobacillus_pleuropneumoniae'],1.0,,,1,0,0
1407,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
1409,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,"['Homo_sapiens', 'Mus_musculus']",0.0,,N,1,0,0
1429,GlcNAc(b1-2)Man(a1-3)[Man(a1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Bos_taurus', 'Homo_sapiens']",0.0,,N,1,0,0
1438,QuiNAc(b1-4)[QuiNAc(a1-2)]QuiNAc(b1-4)QuiNAc,['Vibrio_anguillarum'],1.0,,,1,0,0
1486,[Rha(b1-4)GlcNAc(b1-3)]Rha(a1-2)Rha(a1-3)Rha(a1-3)GlcNAc(a1-2)Rha,['Acinetobacter_baumannii'],1.0,,,1,0,0
1487,[6dTalOAc(a1-3)]Man(a1-2)Man(a1-3)GalNAc(b1-4)Man,['Pseudomonas_fluorescens'],1.0,,,1,0,0
1504,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
1511,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1553,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1573,GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,['Bos_taurus'],1.0,,O,0,1,0
1574,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1579,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,1,0
1614,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1617,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,1.0,Chordata,,0,1,0
1624,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1642,Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
1656,PseNAcNAc(b2-4)Gal(b1-4)Glc(b1-4)PseNAcNAc,['Cellulophaga_fucicola'],1.0,,,1,0,0
1685,Gal(b1-4)Gal(b1-4)GlcNAc,,1.0,Bacteria,,0,0,1
1705,NeuNAc(a2-6)Man(b1-4)GlcNAc,['Homo_sapiens'],0.0,,free,1,0,0
1724,Glc(a1-2)Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[GlcNAc(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)Kdo(a2-4)]Kdo,['Escherichia_coli'],1.0,,,1,0,0
1734,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
1742,Glc(a1-6)GlcNBut(a1-4)GalNAc(a1-3)GalNAc(b1-2)Glc,['Hafnia_alvei'],1.0,,,1,0,0
1745,Gal(a1-3)Gal(b1-3)GalNAc(b1-3)Gal,"['Burkholderia_cepacia', 'Burkholderia_vietnamiensis']",1.0,,,1,0,0
1760,Man(a1-3)Man(a1-2)[Glc(a1-3)]Man(a1-2)Man(a1-2)Man(a1-3)Man,['Citrobacter_braakii'],1.0,,,1,0,0
1764,ManOP(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[ManOP(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
1798,NeuNAc(a2-6)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
1803,Man(a1-6)[Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,1.0,Angiosperms,,1,0,0
1804,[Abe(a1-3)]Rha(b1-2)Man(a1-2)Man(a1-3)[Glc(a1-2)]Gal(b1-4)Rha,"['Salmonella_kentucky', 'Salmonella_sp']",1.0,,,1,0,0
1810,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0
1849,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
1850,Rha(a1-3)RhaOAc(a1-2)[Glc(b1-3)]Rha(a1-3)Rha,['Azospirillum_lipoferum'],1.0,,,1,0,0
1861,Fuc(a1-2)Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0
1915,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)GalOS(b1-3)GalNAc,['Homo_sapiens'],0.0,,O,0,0,1
