glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,predicted_taxonomy,glycan_type,immunogenicity,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,readable
Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-2)Xyl(a1-3)D-Araf(a1-6)[Glc(a1-2)]Man(a1-4)Glc,['Phellinus_linteus'],['Phellinus'],['Hymenochaetaceae'],['Hymenochaetales'],['Agaricomycetes'],['Basidiomycota'],['Fungi'],['Eukarya'],['https://www.sciencedirect.com/science/article/pii/S0141813016304743'],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Gal(a1-999)[Fuc(a1-999)]GlcNAc(a1-999)[Gal6S(a1-999)GlcNAc(a1-999)]GalNAc,[],[],[],[],[],[],[],[],[],G14931HB,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 2, 'dHex': 1, 'HexNAc': 3, 'S': 1}",True
Neu5Gc(a2-998)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G76230IU,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Gc': 1, 'Hex': 4, 'dHex': 1, 'HexNAc': 4}",True
Gal(a1-999)Gal(a1-999)GlcNAc(a1-999)[Neu5Ac(a2-998)Gal(a1-999)GlcNAc(a1-999)]Man(a1-3)[Gal(a1-999)Gal(a1-999)GlcNAc(a1-999)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,[],[],[],[],[],[],[],[],[],G95206VT,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 5, 'Neu5Ac': 1, 'dHex': 1}",True
Rha(a1-999)Man(a1-999)[GlcNAc(a1-999)Man(a1-999)][Xylf(a1-999)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-999)]GlcNAc,[],[],[],[],[],[],[],[],[],G94676TR,Animalia,N,,[],[],[],[],[],[],[],[],[],[],{},True
GlcA4Me6N(a1-999)[Xyl(a1-999)]Xyl,[],[],[],[],[],[],[],[],[],G49368DJ,Plantae,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'Pen': 2, 'Me': 1}",True
Gal(b1-4)[Fuc(a1-999)]GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,[],[],[],[],[],[],[],[],[],G13483MH,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'dHex': 2, 'HexNAc': 3}",True
Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Cricetulus_griseus', 'Holothuria_atria', 'Saccharomyces_cerevisiae', 'Homo_sapiens']","['Cricetulus', 'Holothuria', 'Saccharomyces', 'Homo']","['Cricetidae', 'Holothuriidae', 'Saccharomycetaceae', 'Hominidae']","['Rodentia', 'Holothuriida', 'Saccharomycetales', 'Primates']","['Mammalia', 'Holothuroidea', 'Saccharomycetes', 'Mammalia']","['Chordata', 'Echinodermata', 'Ascomycota', 'Chordata']","['Animalia', 'Animalia', 'Fungi', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya', 'Eukarya']","['', 'https://pubmed.ncbi.nlm.nih.gov/31969392/', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151891', '']",G34821YB,,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 10, 'HexNAc': 2}",True
Gal(b1-4)GlcNAc(a1-999)Gal(b1-6)[Gal(b1-3)]GalNAc,['Schistosoma_mansoni'],['Schistosoma'],['Schistosomatidae'],['Diplostomida'],['Trematoda'],['Platyhelminthes'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/3386683/'],,,O,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'HexNAc': 2}",True
GalNAc(b1-3)LDIdoHep(a1-4)GalNAc,['Campylobacter_jejuni'],['Campylobacter'],['Campylobacteraceae'],['Campylobacterales'],['Epsilonproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],['https://pubmed.ncbi.nlm.nih.gov/31449400/'],,,,,[],[],[],[],[],[],[],[],[],[],{},True
D-Rha4N(a1-2)D-Rha4N(a1-2)D-Rha4N(a1-2)D-Rha4N(a1-2)D-Rha4N(a1-2)D-Rha4N,['Vibrio_cholerae'],['Vibrio'],['Vibrionaceae'],['Vibrionales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],G60632SX,,,,[],[],[],[],[],[],[],[],[],[],{'dHex': 6},True
GlcN(a1-7)LDManHep(a1-2)LDManHep(a1-3)[Gal(a1-4)GalN(b1-4)LDManHep(a1-6)Glc(b1-4)][LDManHep(a1-6)]LDManHep(a1-5)KdoOP(a2-6)GlcN4P(b1-6)GlcN1P,['Aeromonas_salmonicida'],['Aeromonas'],['Aeromonadaceae'],['Aeromonadales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Fruf(a1-999)Glc(a1-999)Glc,[],[],[],[],[],[],[],[],[],G49194AF,Fungi,,,[],[],[],[],[],[],[],[],[],[],{},True
Gal(a1-999)GalNAc(a1-999)GlcNAc(b1-998)[GlcNAc(b1-998)]Man(a1-998)[Man(a1-998)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-998)]GlcNAc,[],[],[],[],[],[],[],[],[],G52236UY,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 5, 'HexNAc': 5, 'dHex': 1}",True
Neu5Ac(a2-8)Neu5Ac(a2-998)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Gc(a2-998)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G13833EQ,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 2, 'Hex': 9, 'HexNAc': 6, 'Neu5Gc': 1, 'dHex': 1}",True
Gal(b1-3)GalNAc(b1-4)Gal3S(b1-4)Glc,[],[],[],[],[],[],[],[],[],G59508TM,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'HexNAc': 1, 'S': 1}",True
Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Pen(a1-999)Man(a1-2)Man(a1-3)[Pen(a1-999)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Man(a1-998)Fuc(a1-6)]GlcNAc,['Acanthamoeba_sp'],['Acanthamoeba'],['Acanthamoebidae'],['Centramoebida'],['Discosea'],['Amoebozoa'],['Protista'],['Eukarya'],['https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext'],,,N,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-6)[Gal(b1-3)]Gal(b1-4)Glc-ol,"['Bos_taurus', 'Equus_asinus']","['Bos', 'Equus']","['Bovidae', 'Equidae']","['Artiodactyla', 'Perissodactyla']","['Mammalia', 'Mammalia']","['Chordata', 'Chordata']","['Animalia', 'Animalia']","['Eukarya', 'Eukarya']","['https://pubmed.ncbi.nlm.nih.gov/23470761/', 'https://www.sciencedirect.com/science/article/abs/pii/S0958694620300972']",,,free,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 3}",True
FucNAc(a1-4)Man(a1-3)FucNAc(a1-3)GlcNAc(b1-3)FucNAc,['Cronobacter_universalis'],['Cronobacter'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],['https://pubmed.ncbi.nlm.nih.gov/25240186/'],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-998)[Gal(b1-4)GlcNAc(b1-2)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Sus_scrofa'],['Sus'],['Suidae'],['Artiodactyla'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/33170858/'],,,N,,[],[],[],[],[],[],['pancreas'],['UBERON:0001264'],['https://pubmed.ncbi.nlm.nih.gov/33170858/'],['Sus_scrofa'],"{'Hex': 6, 'HexNAc': 5, 'dHex': 1}",True
Gal(b1-998)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-998)[GlcNAc(b1-2)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/36216861/'],,,N,,[],[],[],[],[],[],['Cervicovaginal_Secretion'],['NCIT:C150892'],['https://pubmed.ncbi.nlm.nih.gov/36216861/'],['Homo_sapiens'],"{'Hex': 5, 'HexNAc': 5}",True
Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(a1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G81371UR,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 12, 'HexNAc': 2}",True
HexNAc(a1-999)HexA(a1-999)Hex(a1-999)HexNAc(a1-999)HexA(a1-999)Hex(a1-999)HexNAc(a1-999)HexA(a1-999)Hex(a1-999)HexNAc(a1-999)HexA(a1-999)GalNAc,[],[],[],[],[],[],[],[],[],G91278HN,Animalia,O,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 5, 'HexA': 4, 'Hex': 3}",True
GlcNAc(b1-4)Man(b1-4)Man(b1-4)Man(a1-4)[Man(b1-6)]Man(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G20640NX,Plantae,,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 2, 'Hex': 5}",True
Fuc(a1-998)Gal(b1-998)[Fuc(a1-998)]GlcNAc(b1-998)Man(a1-998)[Man(a1-998)[Man(a1-998)]Man(a1-998)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G32338ZQ,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'dHex': 2, 'Hex': 6, 'HexNAc': 3}",True
GlcNAcA3NBut(b1-4)FucNAm3Ac(a1-3)QuiNAc,['Plesiomonas_shigelloides'],['Plesiomonas'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],['https://pubmed.ncbi.nlm.nih.gov/29377682/'],,,,,[],[],[],[],[],[],[],[],[],[],{},True
